Đến nội dung	Skip to content	本文へ移動
Tìm hiểu IKI Beauty	Discover IKI Beauty	IKI Beautyについて
Đang phát triển · Webapp trước, iOS và Android sau.	In development · Web app first, iOS and Android to follow.	開発中 · Webアプリを先行し、iOS・Android版はその後に予定しています。
KHO KIẾN THỨC IKI	THE IKI KNOWLEDGE LIBRARY	IKIの知識ライブラリー
Đọc điều hữu ích.	Read what helps.	役立つことを読み、
Giữ điều phù hợp.	Keep what fits.	自分に合うことを取り入れる。
Tiếp tục khám phá những bài viết sẵn có về sức khỏe và đời sống.	Explore our existing articles on health and everyday life.	健康と暮らしについての記事をお楽しみください。
Sống khỏe mỗi ngày	Everyday wellbeing	毎日の健康
Thói quen đọc sách trước khi ngủ giúp tâm trí lắng lại	Reading before bed: a quiet evening ritual	寝る前の読書で、心を静めるひととき
Đọc vài trang sách giấy trước khi ngủ như một nghi thức nhỏ, giúp tâm trí chuyển nhịp êm ái từ ngày bận rộn sang giấc nghỉ ngơi.	A few pages of a paper book can become a gentle transition from a busy day to a restful evening.	紙の本を数ページ読む習慣で、忙しい一日から休息の時間へと、ゆっくり気持ちを切り替えましょう。
Đọc bài viết →	Read article →	記事を読む →
Chuẩn bị bữa ăn cả tuần cho người đi làm: hướng dẫn meal prep thực tế cho bếp Việt	Meal prep for a busy week: a practical guide for the Vietnamese kitchen	忙しい一週間のための作り置き：ベトナムの家庭料理ガイド
Cách chuẩn bị bữa ăn cả tuần cho người đi làm: chọn món nào để được lâu, sơ chế trong 2 tiếng cuối tuần, bảo quản an toàn, thực đơn mẫu 5 ngày và cách tránh…	Plan meals for the working week: choose dishes, prepare ingredients, store food safely and explore a five-day menu.	平日の食事を計画するために。献立の選び方、下ごしらえ、保存の工夫、5日分のメニューをご紹介します。
Gia đình & trẻ nhỏ	Family & children	家族と子ども
Bảo vệ mắt cho trẻ trong thời đại màn hình	Caring for children’s eyes in a screen-filled world	画面に囲まれた時代に、子どもの目を守る
Trẻ ngày nay nhìn gần nhiều giờ mỗi ngày. Quy tắc nghỉ mắt, ánh sáng học bài, thời gian ngoài trời và những dấu hiệu cha mẹ nên đưa con đi khám mắt.	Explore screen breaks, study lighting, outdoor time and signs that call for an eye examination.	目を休める習慣、学習時の照明、外で過ごす時間、眼科を受診したいサインについて。
Xem Blog IKI	Explore the IKI Blog	IKIブログを見る
HỌC & ĐỒNG HÀNH	LEARN & CONNECT	学びとつながり
Hiểu sâu hơn.	Go a little deeper.	もっと知る。
Có người cùng thực hành.	Find people to practise with.	一緒に実践する仲間と。
Chọn nội dung muốn học ở Học Viện, hoặc tìm một cuộc trò chuyện trong cộng đồng IKI. Không cần mua sản phẩm để bắt đầu tìm hiểu.	Choose something to learn at the Academy or join a conversation in the IKI community. No purchase is needed to begin exploring.	アカデミーで学びたいことを選んだり、コミュニティで交流したり。学び始めるために、商品の購入は必要ありません。
Học Viện IKI	IKI Academy	IKIアカデミー
Cộng đồng IKI	IKI Community	IKIコミュニティ
Chị có thể muốn biết	You may be wondering	よくあるご質問
IKI gồm những gì?	What does IKI include?	IKIには何がありますか？
Kiến thức, Học Viện, cộng đồng, sản phẩm và ứng dụng IKI Beauty đang phát triển.	Knowledge, the Academy, community, products and the IKI Beauty app currently in development.	知識、アカデミー、コミュニティ、商品、そして開発中のIKI Beautyアプリです。
Chưa mua sản phẩm có thể tìm hiểu không?	Can I explore without buying anything?	商品を購入せずに利用できますか？
Chị có thể bắt đầu từ kho Blog và các nội dung mở của IKI.	Yes. Start with the Blog and IKI’s publicly available resources.	はい。ブログや公開コンテンツからご覧いただけます。
IKI · ĐẸP · AN · TỰ TẠI	IKI · BEAUTY · CALM · EASE	IKI · 美しさ · 安らぎ · 自分らしさ
Chăm mình.	Care for yourself.	自分を大切に。
Chăm người mình thương.	Care for the people you love.	大切な人も、大切に。
Một hệ sinh thái, đồng hành cùng đời sống.	An ecosystem alongside everyday life.	毎日の暮らしに寄り添う、ひとつのつながり。
Tìm điều muốn đọc	Find your next read	読みたい記事を探す
Đẹp · An · Tự tại	Beauty · Calm · Ease	美しさ · 安らぎ · 自分らしさ
Chăm sóc sức khỏe chủ động cho chị và gia đình.	Everyday wellbeing for you and your family.	自分と家族のための、毎日のセルフケア。
Kiến thức · Công nghệ · Cộng đồng · Sản phẩm.	Knowledge · Technology · Community · Products.	知識 · テクノロジー · コミュニティ · 商品
Khám phá IKI	Explore IKI	IKIを知る
Cùng chị mỗi ngày	Alongside you, every day	あなたの毎日に
AI hỗ trợ	AI assistance	AIサポート
Sản phẩm IKI	IKI products	IKIの商品
Về chúng tôi	About us	私たちについて
Đội ngũ	Our team	チーム
Đối tác & nhà đầu tư	Partners & investors	パートナー・投資家の皆様へ
Chính sách bảo mật	Privacy policy	プライバシーポリシー
Chính sách đổi trả	Returns policy	返品・交換について
Công ty Cổ phần Thương mại Dịch vụ HOPE	HOPE SERVICE CORPORATION	HOPE SERVICE CORPORATION
Mã số thuế: 0801404967	Tax code: 0801404967	税務番号：0801404967
Địa chỉ: 63/253 Ngô Quyền, P. Lê Thanh Nghị, TP Hải Phòng	Address: 63/253 Ngo Quyen, Le Thanh Nghi Ward, Hai Phong, Vietnam	所在地：63/253 Ngo Quyen, Le Thanh Nghi区, Hai Phong市, ベトナム
© 2026 Công ty Cổ phần TMDV HOPE	© 2026 HOPE SERVICE CORPORATION	© 2026 HOPE SERVICE CORPORATION
Màn hình thiết kế IKI Beauty	IKI Beauty screen designs	IKI Beautyの画面デザイン
Đóng ×	Close ×	閉じる ×
Ảnh minh họa thiết kế; IKI Beauty đang phát triển. Thông tin chức năng chính thức sẽ được cập nhật khi phát hành.	Design previews only. IKI Beauty is in development; confirmed features will be shared at launch.	デザインのプレビューです。IKI Beautyは開発中で、正式な機能は公開時にご案内します。
Đội ngũ HOPE CORP · Những người xây dựng IKI	HOPE CORP team · The people behind IKI	HOPE CORPチーム · IKIをつくる人々
← Về HOPE CORP	← About HOPE CORP	← HOPE CORPについて
NHỮNG NGƯỜI XÂY DỰNG IKI	THE PEOPLE BEHIND IKI	IKIをつくる人々
Cùng một tâm huyết.	A shared commitment.	共通の想いで、
Chăm sóc gần hơn	Making care more personal,	一人ひとりに、
với mỗi người.	one person at a time.	もっと身近なケアを。
Phía sau IKI là những con người kết nối công nghệ, kiến thức và cộng đồng — để việc chăm sóc sức khỏe chủ động có chỗ trong đời sống của chị và gia đình.	Behind IKI are people connecting technology, knowledge and community — to make everyday self-care part of life for you and your family.	IKIのチームはテクノロジー、知識、コミュニティをつなぎ、自分と家族のセルフケアが日々の暮らしに根づくことを目指しています。
Gặp đội ngũ ↓	Meet the team ↓	チームを見る ↓
ĐỘI NGŨ SÁNG LẬP & HỘI ĐỒNG QUẢN TRỊ	FOUNDERS & BOARD	創業メンバーと取締役会
Những góc nhìn khác nhau.	Different perspectives.	さまざまな視点から、
Một hướng đi chung.	A shared direction.	ひとつの方向へ。
Kết nối công nghệ với đời sống.	Connecting technology with everyday life.	テクノロジーと暮らしをつなぐ。
Kinh nghiệm công nghệ và kinh doanh trong môi trường doanh nghiệp Nhật Bản, cùng quá trình học Luật Kinh tế, là những nền tảng trong hành trình xây dựng HOPE CORP.	Experience in technology and business in Japanese companies, alongside studies in economic law, informs his work building HOPE CORP.	日本企業での技術・ビジネス経験と経済法の学びを、HOPE CORPの事業づくりに活かしています。
Tìm hiểu thêm	Learn more	詳しく見る
Từng sống và học tại Nhật Bản, làm việc trong vai trò BrSE rồi Sales quốc tế. Phát triển HOPE CORP với định hướng kết nối tri thức chăm sóc sức khỏe chủ động và công nghệ.	He lived and studied in Japan, working as a bridge systems engineer and later in international sales. He is developing HOPE CORP to connect self-care knowledge and technology.	日本で生活・学習し、BrSE、その後は国際営業として勤務。セルフケアの知識とテクノロジーをつなぐHOPE CORPを育てています。
Kết nối tri thức với cộng đồng.	Connecting knowledge with community.	知識とコミュニティをつなぐ。
Giám đốc Marketing, chuyên gia Thực dưỡng và đồng sáng lập HOPE CORP. Phát triển nội dung, cộng đồng và quan hệ đối tác trong hệ sinh thái IKI.	Marketing Director, macrobiotic nutrition specialist and HOPE CORP co-founder. She develops content, community and partnerships within IKI.	マーケティング責任者、食養生の専門家、HOPE CORP共同創業者。IKIのコンテンツ、コミュニティ、パートナーシップを育てています。
Đồng hành với cộng đồng theo lối sống dưỡng sinh phương Đông; phụ trách phát triển marketing thông qua nội dung, hoạt động cộng đồng và các đối tác chiến lược.	She works with communities interested in Eastern wellbeing traditions and leads marketing through content, community activities and strategic partnerships.	東洋の養生の考え方に関心を持つコミュニティとともに、コンテンツや交流活動、戦略的パートナーシップを通じてマーケティングを進めています。
Góp sức cho nền tảng phát triển dài hạn.	Supporting a foundation for long-term growth.	長期的な成長の基盤を支える。
Tham gia định hướng chiến lược gọi vốn và xây dựng tổ chức cho HOPE CORP, từ kinh nghiệm phát triển doanh nghiệp công nghệ.	He contributes to HOPE CORP’s fundraising strategy and organisational development, drawing on experience in technology businesses.	テクノロジー企業での事業経験をもとに、HOPE CORPの資金調達戦略と組織づくりに参画しています。
Kinh nghiệm tại Canavi và VinCSS, cùng vai trò cố vấn chiến lược gọi vốn và quản trị tổ chức cho HOPE CORP.	His experience includes Canavi and VinCSS, alongside advising HOPE CORP on fundraising strategy and organisational governance.	CanaviやVinCSSでの経験を持ち、HOPE CORPの資金調達戦略と組織運営を助言しています。
ĐỊNH HƯỚNG CÙNG CHIA SẺ	OUR SHARED DIRECTION	私たちが目指す方向
Từ năng lực của đội ngũ,	Turning our capabilities	チームの力を、
đến điều hữu ích cho chị.	into something useful for you.	あなたに役立つものへ。
01 · CÔNG NGHỆ	01 · TECHNOLOGY	01 · テクノロジー
Dễ bắt đầu hơn.	Easier to begin.	始めやすく。
Phát triển công cụ để việc ghi nhận, tìm hiểu và thực hành thuận tiện hơn. AI hỗ trợ những việc cụ thể trong hành trình chăm mình.	Building tools that make recording, learning and practising more convenient. AI helps with specific tasks in your self-care journey.	記録、学び、実践をより便利にするツールを開発します。AIはセルフケアの具体的な作業を支えます。
02 · KIẾN THỨC & CỘNG ĐỒNG	02 · KNOWLEDGE & COMMUNITY	02 · 知識とコミュニティ
Dễ tìm hiểu hơn.	Easier to understand.	わかりやすく。
Đưa kiến thức tới những câu hỏi gần gũi trong đời sống, đồng thời tạo không gian chia sẻ và kết nối.	Bringing knowledge to everyday questions, with room to share and connect.	暮らしの身近な疑問に知識を届け、共有し、つながれる場所をつくります。
03 · TỔ CHỨC	03 · ORGANISATION	03 · 組織
Đồng hành bền hơn.	Built for the longer term.	長く寄り添えるように。
Xây nền tảng vận hành và phát triển dài hạn cho hệ sinh thái, từ nội dung đến sản phẩm và trải nghiệm người dùng.	Building the operational foundations for long-term development, across content, products and the user experience.	コンテンツ、商品、利用体験を支える運営基盤を築き、長期的な発展につなげます。
NỀN TẢNG TRI THỨC	OUR KNOWLEDGE FOUNDATIONS	知識の土台
Trân trọng điều đã học.	Value what we have learned.	学んだことを大切に。
Tiếp tục tìm hiểu	Keep exploring	学び続け、
và đối chiếu.	and checking our understanding.	確かめ続ける。
IKI tiếp cận tri thức chăm sóc sức khỏe chủ động từ nhiều nguồn, trong đó có kiến thức dưỡng sinh truyền thống. Khi chuyển thành nội dung hướng dẫn, điều quan trọng là bối cảnh áp dụng, nguồn tham khảo và giới hạn của thông tin.	IKI draws on various sources of self-care knowledge, including traditional wellbeing practices. Guidance should make its context, references and limitations clear.	IKIは伝統的な養生を含む、さまざまな知識に学びます。情報を伝える際は、適用する場面、参考文献、情報の限界を明確にすることを重視しています。
NGƯỜI ĐẶT NỀN MÓNG TRI THỨC	AN INFLUENCE ON OUR FOUNDATIONS	知識の礎を築いた方
TS. Ngô Đức Vượng	Dr. Ngô Đức Vượng	Ngô Đức Vượng博士
Tiến sĩ Sinh học, người đã đào tạo và truyền cảm hứng về chăm sóc sức khỏe chủ động cho người sáng lập HOPE CORP. Nền tảng kiến thức và tư duy dưỡng sinh ông chia sẻ đóng góp vào chương trình Học Viện IKI.	A Doctor of Biology who taught and inspired HOPE CORP’s founder in proactive self-care. His knowledge and approach to wellbeing have contributed to IKI Academy programmes.	生物学博士。HOPE CORP創業者にセルフケアの考え方を教え、その歩みに影響を与えました。その知識と養生への姿勢は、IKIアカデミーのプログラムにも活かされています。
Tìm hiểu Học Viện IKI →	Discover IKI Academy →	IKIアカデミーについて →
ĐỘI NGŨ ĐỒNG HÀNH	PEOPLE ALONGSIDE YOU	あなたを支える人々
Gặp nhau ở	Connecting through	暮らしに役立つことを通じて、
những việc thiết thực.	practical everyday support.	つながる。
Con người có vai trò riêng trong hệ sinh thái. Công cụ AI hỗ trợ trải nghiệm, không thay thế mọi hình thức hỗ trợ hay đánh giá chuyên môn.	People have a distinct role within IKI. AI tools support the experience; they do not replace every form of human support or professional assessment.	IKIでは人による支援も大切にしています。AIは体験を支えるツールであり、人のサポートや専門的な評価のすべてに代わるものではありません。
Trong Học Viện	At the Academy	アカデミーで
Hỗ trợ học viên tìm hiểu nội dung và giải đáp theo phạm vi chương trình. Xem thông tin người hướng dẫn tại từng chương trình.	Helping learners explore content and questions within each programme. See each programme for instructor information.	各プログラムの範囲で、学びや疑問の解決をサポートします。講師情報は各プログラムをご確認ください。
Khám phá cách học →	Explore learning →	学び方を見る →
Trong cộng đồng	In the community	コミュニティで
Hỗ trợ kết nối, duy trì quy tắc chia sẻ và hướng người tham gia tới nguồn thông tin phù hợp.	Helping people connect, maintaining sharing guidelines and pointing members towards relevant information.	交流を支え、共有のルールを守りながら、関心に合った情報源をご案内します。
Tìm nơi đồng hành →	Find your community →	つながる場所を探す →
Khi dùng IKI	When using IKI	IKIを使うとき
Tìm hỗ trợ sử dụng và thông tin về ứng dụng. Vấn đề y khoa cần được đánh giá bởi nhân viên y tế có chuyên môn phù hợp.	Find help using IKI and information about the app. Medical concerns need assessment by an appropriately qualified healthcare professional.	使い方のサポートやアプリ情報をご案内します。医学的な問題は、適切な資格を持つ医療従事者にご相談ください。
Tìm hiểu ứng dụng →	Discover the app →	アプリについて →
KẾT NỐI VỚI HOPE CORP	CONNECT WITH HOPE CORP	HOPE CORPとつながる
Cùng góp sức cho	Working together for	ともに、
một đời sống khỏe hơn.	a healthier everyday life.	より健やかな暮らしへ。
Trao đổi hợp tác, tìm hiểu đội ngũ hoặc gửi hồ sơ ứng tuyển.	Discuss partnerships, learn about our team or send a job application.	協業のご相談、チームへのお問い合わせ、採用へのご応募をお待ちしています。
Chúng tôi đón nhận những kết nối phù hợp với định hướng của IKI.	We welcome connections that align with IKI’s direction.	IKIの方向性に共感してくださる皆様とのつながりを大切にします。
Liên hệ HOPE CORP	Contact HOPE CORP	HOPE CORPに連絡する
Tìm hiểu công nghệ IKI →	Explore IKI technology →	IKIのテクノロジーを見る →
ĐỐI TÁC & NHÀ ĐẦU TƯ	PARTNERS & INVESTORS	パートナー・投資家の皆様へ
Hiểu cách hệ sinh thái IKI phát triển.	Understand how IKI is developing.	IKIの成長の仕組みをご紹介します。
Từ ứng dụng cá nhân hóa đến kiến thức, khóa học và sản phẩm: xem mô hình kinh doanh, hướng mở rộng và giai đoạn hiện tại.	From a personalised app to knowledge, courses and products: explore the business model, expansion plans and current stage.	パーソナライズされたアプリから、知識、講座、商品へ。ビジネスモデル、展開方針、現在の段階をご覧ください。
Xem tổng quan dự án →	View the project overview →	プロジェクトの概要を見る →
CỬA HÀNG IKI · CHĂM MÌNH, CHĂM GIA ĐÌNH	IKI SHOP · CARE FOR YOU AND YOUR FAMILY	IKIショップ · 自分と家族のために
Chọn điều phù hợp	Choose what fits	自分に合うものを選んで、
để	to	毎日の
chăm mình	care for yourself	セルフケア
và gia đình mỗi ngày.	and your family, every day.	と家族の暮らしに。
Từ dinh dưỡng thực vật, thức uống đến những lựa chọn cho căn bếp. Tìm hiểu thành phần, cách dùng và chọn theo nhu cầu của chị cùng người thân.	From plant-based nutrition and drinks to everyday kitchen essentials. Explore ingredients and directions, and choose for your needs and your family’s.	植物性の栄養食品、飲み物、キッチンで使うものまで。原材料と使い方を確認し、自分と家族に合うものを選びましょう。
Khám phá sản phẩm	Explore products	商品を見る
Đọc kiến thức chăm sóc	Explore wellbeing guides	セルフケアの記事を読む
Hiểu rõ	Understand	知る
Thành phần & cách dùng	Ingredients & directions	原材料と使い方
Chọn vừa	Choose well	選ぶ
Nhu cầu & ngân sách	Your needs & budget	必要なものを、予算に合わせて
Đồng hành	Keep learning	学び続ける
Cùng kiến thức IKI	With IKI resources	IKIの知識とともに
Dinh dưỡng thực vật · IKI	Plant-based nutrition · IKI	植物性の栄養食品 · IKI
HÔM NAY CHỊ ĐANG TÌM GÌ?	WHAT ARE YOU LOOKING FOR TODAY?	今日は、何をお探しですか？
Một lựa chọn gần với nhu cầu.	Choose for your everyday needs.	毎日の暮らしに合う選択を。
01 · DINH DƯỠNG	01 · NUTRITION	01 · 栄養
Bổ sung đạm thực vật	Explore plant-based protein	植物性プロテイン
Tìm hiểu thành phần và cách dùng trong ngày.	Learn about ingredients and everyday use.	原材料と日々の取り入れ方を確認できます。
Xem sản phẩm →	View products →	商品を見る →
02 · THỨC UỐNG	02 · DRINKS	02 · 飲み物
Một khoảng nghỉ cùng trà	A pause with a cup of tea	お茶とひと休み
Khám phá các lựa chọn trà thảo mộc.	Explore the herbal tea selection.	ハーブティーのラインアップをご覧ください。
Xem các loại trà →	Explore teas →	お茶を見る →
03 · BẾP GIA ĐÌNH	03 · THE FAMILY KITCHEN	03 · 家族のキッチン
Chuẩn bị bữa ăn mỗi ngày	For everyday meals	毎日の食事づくりに
Chọn gia vị cho những món ăn quen thuộc.	Find seasonings for the meals you love.	いつもの料理に使う調味料を選べます。
Xem gia vị →	Explore seasonings →	調味料を見る →
Tìm theo danh mục	Browse by category	カテゴリーから探す
GỢI Ý KHÁM PHÁ	DISCOVER THE SELECTION	おすすめのカテゴリー
Khám phá thông tin và chọn sản phẩm phù hợp với sinh hoạt hằng ngày.	Explore the details and choose products for your everyday routine.	商品の情報を見ながら、毎日の暮らしに合うものを選びましょう。
Hiểu điều mình chọn.	Understand what you choose.	選ぶものを、よく知る。
Chăm mình có cơ sở.	Make informed choices.	納得して、セルフケアに。
Bắt đầu từ nhu cầu	Begin with your needs	必要なことから始める
Một bữa ăn, một thức uống hay món dùng trong bếp. Chọn điều thực sự phù hợp với sinh hoạt của mình.	A meal, a drink or a kitchen staple. Choose something that fits the way you live.	食事、飲み物、キッチンで使うもの。暮らしに本当に合うものを選びましょう。
Đọc trước khi chọn	Read before choosing	選ぶ前に読む
Xem thành phần, hướng dẫn sử dụng và lưu ý trên nhãn của từng sản phẩm.	Check the ingredients, directions and notes on each product label.	各商品のラベルで、原材料、使い方、注意事項をご確認ください。
Kiến thức đi cùng sản phẩm	Knowledge alongside products	商品とともに、知識を
Khám phá thêm cách ăn uống, nghỉ ngơi và vận động trong	Explore food, rest and movement in the	食事、休息、運動について、
Blog IKI	IKI Blog	IKIブログで学ぶ
Công ty Cổ phần TMDV HOPE	HOPE SERVICE CORPORATION	HOPE SERVICE CORPORATION
Đặt hàng & giao nhận	Ordering & delivery	注文と配送
Liên hệ IKI	Contact IKI	IKIへのお問い合わせ
Chăm sóc cùng IKI	Care with IKI	IKIとセルフケア
Kiến thức chăm sóc bản thân và gia đình, cùng cộng đồng thực hành.	Learn about caring for yourself and your family, with a community alongside you.	自分と家族のケアについて学び、コミュニティと一緒に実践しましょう。
Khám phá cộng đồng →	Explore the community →	コミュニティを見る →
Bảo mật	Privacy	プライバシー
Đổi trả	Returns	返品・交換
Mở menu	Open menu	メニューを開く
Đóng menu	Close menu	メニューを閉じる
Menu chính	Main navigation	メインメニュー
Chọn ngôn ngữ	Choose language	言語を選択
Ngôn ngữ	Language	言語
IKI – về trang chủ	IKI – home	IKI – ホーム
Học Viện · IKI	Academy · IKI	アカデミー · IKI
English · Trang chủ	English	English
日本語 · Trang chủ	日本語	日本語
HỌC VIỆN IKI	IKI ACADEMY	IKIアカデミー
Hiểu hơn.	Learn a little more.	もう少し、知る。
Để chăm mình vừa đủ.	Care in a way that fits.	自分に合うケアのために。
Kiến thức có chỗ trong đời sống, từ những băn khoăn nhỏ	Knowledge for everyday life, from small questions	小さな疑問から、
đến hành trình thực hành của riêng chị.	to your own journey of practice.	自分なりの実践まで。暮らしに活きる知識を。
HỌC TỪ ĐIỀU CHỊ CẦN	LEARN FROM WHAT YOU NEED	必要なことから学ぶ
Một câu hỏi nhỏ.	One small question.	小さな問いから、
Một bước hiểu thêm.	One step towards understanding.	理解を一歩深める。
Chăm da từ đâu? Sắp xếp bữa ăn thế nào khi bận? Làm sao có một khoảng nghỉ trong ngày?	Where to start with skincare? How to plan meals when life is busy? How to make room for a break?	肌のケアは何から？忙しい日の食事はどう整える？一日の中に休息をつくるには？
Chị có thể đọc kiến thức mở trước, rồi tìm hiểu chương trình khi muốn đi sâu hơn.	Start with free-to-read resources, then explore a programme when you want to go deeper.	まずは公開記事を読み、もっと学びたくなったらプログラムをご覧ください。
Bắt đầu từ Blog	Start with the Blog	ブログから始める
CÁC CÁCH HỌC CÙNG IKI	WAYS TO LEARN WITH IKI	IKIでの学び方
Chọn một bước phù hợp.	Choose a step that fits.	自分に合う一歩を。
Tri thức nền tảng	Foundational knowledge	基礎知識
Đọc, tìm hiểu và chọn điều chị muốn thử trong đời sống.	Read, learn and choose something to try in everyday life.	読んで、学んで、暮らしの中で試したいことを選びましょう。
Đọc tri thức nền tảng →	Explore the foundations →	基礎知識を読む →
3 Ngày Reset	3-Day Reset	3日間リセット
Tìm hiểu nội dung và hình thức chương trình hiện có.	Explore the content and format of the current programme.	現在のプログラムの内容と形式をご確認ください。
Xem lộ trình 3 ngày →	See the 3-day programme →	3日間のプログラムを見る →
7 Ngày Detox	7-Day Detox	7日間Detox
Xem giáo trình và thông tin chương trình trước khi đăng ký.	Review the curriculum and programme details before registering.	お申し込み前に、カリキュラムとプログラムの詳細をご確認ください。
Xem lộ trình 7 ngày →	See the 7-day programme →	7日間のプログラムを見る →
Đồng hành 1–1	One-to-one support	マンツーマンのサポート
